<문제>,①,②,③,④,정답,이미지파일
도로교통법상 승차정원 15인승의 긴급 승합자동차를 처음 운전하려고 할 때 필요한 조건으로 맞는 것은?,"제1종 보통면허, 교통안전교육 3시간","제1종 특수면허(대형견인차), 교통안전교육 2시간","제1종 특수면허(구난차), 교통안전교육 2시간","제2종 보통면허, 교통안전교육 3시간",1,
도로교통법상 연습운전면허의 유효 기간은?,받은 날부터 6개월 ,받은 날부터 1년,받은 날부터 2년 ,받은 날부터 3년,2,
차마의 운전자가 도로의 좌측으로 통행할 수 없는 경우로 맞는 것은?,안전표지 등으로 앞지르기를 제한하고 있는 경우,도로가 일방통행인 경우,도로 공사 등으로 도로의 우측 부분을 통행할 수 없는 경우,도로의 우측 부분의 폭이 차마의 통행에 충분하지 아니한 경우,1,
다음 중 도로교통법상 국제운전면허증 발급을 거부할 수 있는 경우는?,도로교통법 위반으로 벌점 15점이 부과된 경우,출입국관리법에 따라 외국으로 출국이 금지된 경우,형사사건으로 벌급형을 선고 받고 벌금을 납부하지 않은 경우,도로교통법 위반으로 부과된 범칙금을 납부하지 않은 경우(납부기간경과),4,
다음 중 제2종 보통면허를 취득할 수 있는 사람은?,한쪽 눈은 보지 못하나 다른 쪽 눈의 시력이 0.5인 사람,"붉은색, 녹색, 노란색의 색채 식별이 불가능한 사람",17세인 사람,듣지 못하는 사람,4,
다음 중 연습운전면허 소지자의 준수사항으로 잘못 설명된 것은?,운전면허가 없는 동승자에게도 운전지도를 받을 수 있다. ,“주행연습” 표지를 부착하고 운전하여야 한다. ,사업용 자동차를 주행연습 외의 목적으로 운전할 수 없다. ,원동기장치자전거를 운전할 수 없다. ,1,
다음 중 도로교통법상 영문 운전면허증을 발급 받을 수 없는 사람은?,운전면허시험에 합격하여 운전면허증을 신청하는 경우,운전면허 적성검사에 합격하여 운전면허증을 신청하는 경우,외국면허증을 국내면허증으로 교환 발급 신청하는 경우,연습운전면허증으로 신청하는 경우 ,4,
경운기를 앞지르기하려 한다. 이때 사고 발생 가능성이 가장 높은 것은? ,전방 우측 길 가장자리로 보행하는 보행자와의 충돌,반대편에서 달려오는 차량과의 정면충돌,뒤따라오는 차량과의 충돌,비포장도로로 우회전하려는 경운기와의 충돌,2,a.png
다음의 횡단보도 표지가 설치되는 장소로 가장 알맞은 곳은?,포장도로의 교차로에 신호기가 있을 때,포장도로의 단일로에 신호기가 있을 때,보행자의 횡단이 금지되는 곳,신호가 없는 포장도로의 교차로나 단일로,4,b.png
다음 안전표지가 뜻하는 것은?,노면이 고르지 못함을 알리는 것,터널이 있음을 알리는 것,과속방지턱이 있음을 알리는 것,미끄러운 도로가 있음을 알리는 것,3,c.png
다음 중 앞지르기가 가능한 경우는?,앞차가 다른 차를 앞지르고 있을 때,앞차의 좌측에 다른 차가 나란히 진행하고 있을 때,앞차가 우측으로 차로를 변경하려고 방향 지시를 할 때,교차로에서 앞차가 서행하고 있을 때,3,